eartag,species,date,dpi,barn,innoc,barni,od,sp,status,od_f,sp_f,status_f,notes1,notes2,expt,o1,o2,n1,n2,r1,r2,wb1,wb2,omean,nmean,rmean,wbmean,retest,isolation1_dpbs,i1o,i1n,i1r
103,Bovine,22/8/2020,0,3,1,3a,NA,NA,NA,,,,not tested to save icELISA money,"innoculation day, morning",A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
106,Bovine,22/8/2020,0,3,1,3a,NA,NA,NA,,,,not tested to save icELISA money,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
107,Bovine,22/8/2020,0,3,1,3a,NA,NA,NA,,,,not tested to save icELISA money,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
109,Bovine,22/8/2020,0,3,1,3a,NA,NA,NA,,,,not tested to save icELISA money,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
122,Caprine,22/8/2020,0,3,0,3b,NA,NA,NA,,,,not tested to save icELISA money,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
135,Caprine,22/8/2020,0,3,0,3b,NA,NA,NA,,,,not tested to save icELISA money,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
145,Caprine,22/8/2020,0,3,0,3b,NA,NA,NA,,,,not tested to save icELISA money,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
148,Caprine,22/8/2020,0,3,0,3b,NA,NA,NA,,,,not tested to save icELISA money,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
100,Bovine,22/8/2020,0,4,0,4c,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
112,Bovine,22/8/2020,0,4,0,4c,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
130,Caprine,22/8/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
138,Caprine,22/8/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
143,Caprine,22/8/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
146,Caprine,22/8/2020,0,4,1,4a,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
129,Caprine,22/8/2020,0,4,0,4b,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
136,Caprine,22/8/2020,0,4,0,4b,NA,NA,NA,,,,not tested to save icELISA money,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
121,Caprine,22/8/2020,0,5,1,5a,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
128,Caprine,22/8/2020,0,5,1,5a,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
133,Caprine,22/8/2020,0,5,1,5a,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
139,Caprine,22/8/2020,0,5,1,5a,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
134,Caprine,22/8/2020,0,5,0,5b,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
142,Caprine,22/8/2020,0,5,0,5b,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
144,Caprine,22/8/2020,0,5,0,5b,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
147,Caprine,22/8/2020,0,5,0,5b,NA,NA,NA,,,,not tested to save icELISA money,,B,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
99,Bovine,22/8/2020,0,6,0,6c,NA,NA,NA,,,,not tested to save icELISA money,,Control,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,
110,Bovine,22/8/2020,0,6,0,6c,NA,NA,NA,,,,not tested to save icELISA money,,Control,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,
113,Bovine,22/8/2020,0,6,0,6c,NA,NA,NA,,,,not tested to save icELISA money,,Control,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,
131,Caprine,22/8/2020,0,6,0,6b,NA,NA,NA,,,,not tested to save icELISA money,,Control,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,
137,Caprine,22/8/2020,0,6,0,6b,NA,NA,NA,,,,not tested to save icELISA money,,Control,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,
141,Caprine,22/8/2020,0,6,0,6b,NA,NA,NA,,,,not tested to save icELISA money,,Control,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,,
103,Bovine,26/8/2020,4,3,1,3a,0.051,0.43,Neg,,,,"od,sp,status are for nasal swabs; _f is for fecal",,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
106,Bovine,26/8/2020,4,3,1,3a,0.05,0.29,Neg,,,,,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
107,Bovine,26/8/2020,4,3,1,3a,0.055,1,Neg,,,,,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
109,Bovine,26/8/2020,4,3,1,3a,0.062,2.01,Neg,,,,,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
122,Caprine,26/8/2020,4,3,0,3b,0.051,0.43,Neg,,,,,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
135,Caprine,26/8/2020,4,3,0,3b,0.049,0.14,Neg,,,,,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
145,Caprine,26/8/2020,4,3,0,3b,0.05,0.29,Neg,,,,,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
148,Caprine,26/8/2020,4,3,0,3b,0.05,0.29,Neg,,,,,,A,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
100,Bovine,26/8/2020,4,4,0,4c,0.049,0.14,Neg,,,,,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
112,Bovine,26/8/2020,4,4,0,4c,0.078,4.3,Neg,,,,,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
130,Caprine,26/8/2020,4,4,1,4a,2.781,391.55,Pos,,,,,,C,22.363,22.2901,27.2644,27.4855,28.3062,28.2155,,,22.32655,27.37495,28.26085,,,1,0,1,0
138,Caprine,26/8/2020,4,4,1,4a,0.062,2.01,Neg,,,,,,C,U,U,U,U,29.0956,29.5802,,,#DIV/0!,#DIV/0!,29.3379,,"yes, replaced with retest value for ocular and rectal",,,,
143,Caprine,26/8/2020,4,4,1,4a,3.394,479.37,Pos,,,,,,C,24.7272,24.5311,U,U,24.8195,24.3507,,,24.62915,#DIV/0!,24.5851,,,0,,,0
146,Caprine,26/8/2020,4,4,1,4a,1.968,275.07,Pos,,,,,,C,U,U,U,U,25.2244,25.1906,,,#DIV/0!,#DIV/0!,25.2075,,"yes, replaced with retest value for rectal",1,,,1
129,Caprine,26/8/2020,4,4,0,4b,0.063,2.15,Neg,,,,,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
136,Caprine,26/8/2020,4,4,0,4b,0.05,0.29,Neg,,,,,,C,U,U,U,U,U,U,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
